"E3.5_ICM_R1"	"E3.5_ICM_R2"	"E3.5_ICM_R3"	"E4.5_EPI_R1"	"E4.5_EPI_R2"	"E4.5_EPI_R3"	"E5.5_EPI_R1"	"E5.5_EPI_R2"	"E5.5_EPI_R3"
"ENSMUSG00000099997"	749	721	619	493	390	1227	639	759	486
"ENSMUSG00000100131"	1034	511	483	691	1015	1464	1088	583	868
"ENSMUSG00000067736"	72	47	220	37	60	242	96	52	112
"ENSMUSG00000101939"	19318	7221	6507	4500	20438	23505	15732	12973	10187
"ENSMUSG00000101111"	10100	5236	1677	2599	5787	8451	6580	5785	1962
"ENSMUSG00000100862"	10142	4822	1959	1657	6417	8676	5452	4106	1962
"ENSMUSG00000102070"	16465	10694	9489	5310	11369	18053	14425	10413	4217
"ENSMUSG00000101249"	13207	7473	4154	4571	6486	8923	11492	7537	4541
"ENSMUSG00000073725"	1972	1630	2863	721	634	757	948	957	812
"ENSMUSG00000100808"	1	1	0	0	2	1	1	1	2
"ENSMUSG00000100483"	0	0	0	0	1	0	0	0	1
"ENSMUSG00000100450"	97	64	26	20	29	59	43	37	28
"ENSMUSG00000099392"	0	1	0	0	1	0	0	0	0
"ENSMUSG00000033569"	17	21	4	6	15	13	7	3	4
"ENSMUSG00000080849"	226	119	92	31	47	139	78	93	312
"ENSMUSG00000104257"	2	1	0	0	2	2	1	1	2
"ENSMUSG00000096866"	0	0	0	0	0	2	0	0	0
"ENSMUSG00000102296"	3	3	0	0	2	5	7	9	1
"ENSMUSG00000103209"	8	3	0	0	3	3	1	2	2
"ENSMUSG00000104027"	6	5	0	2	5	4	2	3	0
"ENSMUSG00000102407"	1	1	1	1	2	4	1	1	0
"ENSMUSG00000103214"	2	4	0	0	7	1	1	1	1
"ENSMUSG00000104100"	31	12	3	1	11	14	4	2	4
"ENSMUSG00000084740"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000103889"	6	4	1	0	2	0	2	1	1
"ENSMUSG00000101301"	500	49	55	19	35	102	62	71	16
"ENSMUSG00000104221"	11	7	2	1	7	7	8	8	10
"ENSMUSG00000102250"	12	4	4	2	6	9	6	4	3
"ENSMUSG00000102317"	13	12	4	1	13	10	6	7	1
"ENSMUSG00000103563"	12	17	2	2	3	3	4	10	2
"ENSMUSG00000102465"	5	4	1	0	1	1	2	0	0
"ENSMUSG00000102659"	7	14	0	1	14	8	5	5	3
"ENSMUSG00000103924"	9	7	5	0	16	16	4	32	0
"ENSMUSG00000104132"	8	3	1	3	4	7	1	1	1
"ENSMUSG00000102747"	32	22	6	9	14	13	8	8	0
"ENSMUSG00000102386"	280	427	19	408	176	111	103	113	17
"ENSMUSG00000103004"	1	5	0	1	0	1	5	1	2
"ENSMUSG00000104516"	5	4	3	0	0	0	1	1	3
"ENSMUSG00000101618"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000099458"	3	5	7	1	0	4	2	6	4
"ENSMUSG00000088111"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000073722"	1	1	0	0	1	0	0	1	1
"ENSMUSG00000095256"	0	1	0	0	1	2	1	1	1
"ENSMUSG00000100310"	3	8	7	4	14	15	15	3	3
"ENSMUSG00000101514"	957	961	123	257	453	561	297	301	67
"ENSMUSG00000101033"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000101372"	6	14	3	3	7	4	6	19	9
"ENSMUSG00000103241"	4	4	1	0	6	10	5	3	0
"ENSMUSG00000086240"	515	533	229	270	240	505	402	413	663
"ENSMUSG00000048411"	1	3	0	1	0	2	1	1	2
"ENSMUSG00000081557"	198	46	38	32	21	79	55	59	49
"ENSMUSG00000058590"	160	76	61	21	119	315	98	120	34
"ENSMUSG00000101235"	14	11	2	2	5	21	6	14	1
"ENSMUSG00000064433"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000080625"	0	1	0	0	0	3	2	0	0
"ENSMUSG00000080391"	0	0	0	0	0	0	0	1	0
"ENSMUSG00000099257"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000099492"	2285	1138	2152	910	1878	3427	2116	2585	1816
"ENSMUSG00000101726"	3	2	3	0	5	17	4	4	6
"ENSMUSG00000096829"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000098883"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000053185"	3	4	0	0	2	2	1	0	0
"ENSMUSG00000100261"	65	150	44	24	7	32	16	35	23
"ENSMUSG00000101180"	0	1	0	0	0	2	0	0	0
"ENSMUSG00000048874"	4426	4341	8972	2556	5462	10989	3686	2279	8802
"ENSMUSG00000103783"	22	11	9	3	21	21	8	8	8
"ENSMUSG00000104315"	172	82	15	56	75	52	25	39	7
"ENSMUSG00000026064"	2290	1343	2462	144	642	2749	1075	770	1605
"ENSMUSG00000086151"	0	0	0	1	1	3	0	0	0
"ENSMUSG00000086726"	3	0	3	0	0	5	0	7	1
"ENSMUSG00000087346"	4	1	1	0	0	6	0	1	0
